gene_id,max_tpm,Body_vs_Head_FC,Body_vs_Head_padj,Major_vs_Body_FC,Major_vs_Body_padj,Ampullate_vs_Rest_FC,Ampullate_vs_Rest_padj,Tail_vs_Rest_FC,Tail_vs_Rest_padj,Duct_vs_Rest_FC,Duct_vs_Rest_padj,Sac_vs_Rest_FC,Sac_vs_Rest_padj,Body_vs_Head_PC1,Major_vs_Body_PC1,Ampullate_vs_Rest_PC1,Major_part_PC1,Major_part_PC2,MAG_part_Distance_PCA,MajorParts_PCA,Body_vs_Head_PLS1,Major_vs_Body_PLS1,Ampullate_vs_Rest_PLS1,MAG_part_p1,MAG_part_p2,MAG_part_Distance_PLS,MajorParts_PLS
maker-000016F-augustus-gene-14.7,38.29390993926992,-0.8403728990376969,0.025433091750506658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0035348996755521253,NA,NA,NA,NA,NA,NA,-0.008036984397964676,NA,NA,NA,NA,NA,NA
maker-000016F-augustus-gene-3.0,5.505561741732215,-0.9320573223114541,0.27795837989049077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.002674504350636192,NA,NA,NA,NA,NA,NA,-0.006011793151364096,NA,NA,NA,NA,NA,NA
maker-000016F-augustus-gene-50.13,9.485383408297754,0.9111771421191092,0.03940898027849314,1.2278186753512668,3.906853569931379e-6,-0.005665294227965933,0.9896337528978313,NA,NA,NA,NA,NA,NA,0.0036960780765374177,-0.0049749984560545964,5.70102681472207e-4,NA,NA,NA,NA,0.008103631210446594,0.01340971017354855,0.0012098623385115984,NA,NA,NA,NA
maker-000016F-augustus-gene-50.15,4.008904126755882,6.662439394219174,2.0897040000469066e-8,4.760718987101466,4.052278359411462e-4,0.6223168285289294,NA,NA,NA,NA,NA,NA,NA,0.011536469774622712,-0.00934172055523596,3.691659985040667e-4,NA,NA,NA,NA,0.011007628725717714,0.014566207526490856,-3.381665156815783e-5,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-1.1,329.9704520014413,-0.4014945514106815,0.30531383288812874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0017267904353193923,NA,NA,NA,NA,NA,NA,-0.00488891849615298,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-1.2,66.92000096455124,0.346087154713358,0.1799672388205313,-0.7881646702297346,2.4483296434767777e-5,-0.020280854768144688,0.9438325488125618,0.2468657142654513,0.4106953557372657,0.18331212008080233,0.6477234794225009,-0.4454526273503552,0.12425722146246818,0.0013200488785736911,0.0031377938531136637,-8.538956011130297e-5,-0.00394042995070012,-0.003159875274312728,0.005050920702761774,Undefined,0.006816121833521681,-0.012715864064594127,-8.486964607618221e-4,-0.01146457305175785,0.020425836630328875,0.02342330543087327,Tail
maker-000016F-est_gff_StringTie-gene-1.3,8.834786181561501,0.21953984639782162,0.8572982354868144,5.1708886353445065,2.256603802873726e-4,0.5670822853365178,0.8830781195487374,NA,NA,NA,NA,NA,NA,0.0020334447726820764,-0.008674385825155635,-0.0035521975397861446,NA,NA,NA,NA,0.0023202809725042716,0.014196010571865167,0.009274985538691835,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-10.0,38.552537234439384,0.8100777373006196,5.91593402114047e-7,-0.007573126551870684,0.9696231816107244,0.5534831883456465,0.11311437039299015,-0.8019834496078745,0.01678400119611887,1.0209342845938534,0.0010957127443243114,-0.32537498022060213,0.5122435983146347,0.0033520793537443914,2.450605127859161e-4,-0.0015913875599038935,0.0034688297250746914,-0.014866959092583643,0.01526627827344036,Duct,0.011214135472356718,7.651721514604125e-4,0.009946655890165242,0.01807602677453044,0.027830773026946674,0.03318576006709751,Duct
maker-000016F-est_gff_StringTie-gene-12.0,16.32161485350605,-5.16117684144289,2.670136946040393e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013606214100292592,NA,NA,NA,NA,NA,NA,-0.01080934527032036,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-14.3,1258.5513832506563,9.470386266491387,8.612100946330332e-49,6.503833837976212,2.4754516548735227e-5,-1.76959278411634,0.27417360660600915,NA,NA,NA,NA,NA,NA,0.03478422360687395,-0.03709137934991512,0.00270608739768309,NA,NA,NA,NA,0.011915570980621116,0.014910814191492365,-0.003306428935624471,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-14.5,256.9813851290311,0.9447664410460057,0.017450960136350505,5.345347019939396,2.396898722974899e-6,-0.3086128483078611,0.8630095121981116,NA,NA,NA,NA,NA,NA,0.0038794095929439647,-0.024892036492687345,-0.0033506148798456855,NA,NA,NA,NA,0.007916327699059745,0.01518448865270843,0.0023874641611144175,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-16.0,6.716244970205285,-3.3942064623062134,0.0050618796608582805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006198559673258239,NA,NA,NA,NA,NA,NA,-0.008199310217153479,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-19.0,37.16617457076101,0.27500976127218324,0.16260336190032373,0.26024392057357204,0.04686328410183904,0.31946491664136584,0.08354186489577117,NA,NA,NA,NA,NA,NA,0.0011811210682909216,-9.876870507865476e-4,-0.0034350340419381695,NA,NA,NA,NA,0.006838306612648054,0.008779902812981006,0.015278062796275743,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-2.1,54.452203621744715,0.4142710549745218,0.2508736274159509,-0.10074235657900761,0.7334849417760249,0.38766761749962,0.27990907550931654,-0.2930240907692994,0.2615070960131034,0.015927762666403725,0.9696627192511457,0.2617697668297429,0.39060798687712,0.0019257660841397707,4.101183648738296e-5,-0.004383831952678995,0.0033873620542135274,-8.421949989632945e-4,0.0034904890921766928,Undefined,0.005846477404117116,-0.0013431315852833468,0.009032731178466378,0.013990250966715712,-0.002418465781888081,0.01419774978121017,Undefined
maker-000016F-est_gff_StringTie-gene-2.2,72.96853246232712,-2.167119802990925,4.184699631506354e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00864978563165087,NA,NA,NA,NA,NA,NA,-0.010882115145385656,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-23.1,30.688045378929342,0.24168635690019477,0.2737303663684405,-0.19293066469649117,0.2415087015545717,0.17283468247178324,0.4131669069189483,-0.3930283272876371,0.26387936833257586,0.26544315809937397,0.5816165257837252,0.12225199546223335,0.8074250800022895,9.190063958879797e-4,0.0010425437165508121,-0.002511377490634102,0.004040971041201857,-3.0391762072317014e-4,0.004052383604252941,Undefined,0.005760436302332593,-0.006328934511918836,0.007932279756156691,0.010312437043298029,-3.113061710162981e-4,0.010317134742945749,Undefined
maker-000016F-est_gff_StringTie-gene-23.2,60.32268476174749,0.44280228621509005,0.09558741249972459,1.0146337648738144,1.7218310216302543e-5,0.14478807017298798,0.7098428116806056,NA,NA,NA,NA,NA,NA,0.0019989892873718855,-0.0045517362502669615,-7.616969917014964e-4,NA,NA,NA,NA,0.007054704189250421,0.01329139832719714,0.00591765838634675,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-24.0,46.665922276912355,-0.09735936160046049,0.9009469199382083,-0.009981249583117779,0.989736812070864,-0.6508349474728379,0.4861766353499973,0.4404989365869907,0.6868752555878145,-0.014913851465228778,0.9921591938218668,-0.4692342767507947,0.7278568804725675,4.397657688155878e-4,5.699619740982742e-5,0.008063885671352565,-0.006097646100459402,-0.0025231329812322525,0.006599052053699054,Undefined,6.081416832493297e-4,0.0015555488423931564,-0.011759469097293647,-0.00737189961834408,0.010133794531306776,0.012531508112980046,Tail
maker-000016F-est_gff_StringTie-gene-24.1,11.423673828466786,1.509308554494878,0.0060941768475446904,4.824441699000821,2.4931340066224403e-6,-0.050647045723428444,0.9841357524746686,NA,NA,NA,NA,NA,NA,0.004642364678145025,-0.00962408958893235,-2.8058660843773453e-4,NA,NA,NA,NA,0.008927550935883388,0.01505393909908609,0.0015071403791356449,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-24.2,5.8648380249930705,1.3088761877125572,0.06515195885973425,6.207644497187542,2.395293993812337e-12,-0.6945726509166598,NA,NA,NA,NA,NA,NA,NA,0.0032902741362473022,-0.007281407482885617,-8.960689501027045e-4,NA,NA,NA,NA,0.007616459286638659,0.015043704507985945,0.003228448167250732,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-24.4,12.53989547895958,1.7286488295360187,0.1160648211224407,6.057490383872013,8.22388607917989e-9,0.12854112868985051,NA,NA,NA,NA,NA,NA,NA,0.006214974503044077,-0.009686660286858028,-0.0027069812365817765,NA,NA,NA,NA,0.007970556998211404,0.015357134334467056,0.01084747946055946,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-25.0,247.25200136010852,0.20391920287556609,0.6796582015248298,0.24835860488013684,0.5322071125491289,-0.14981008299884066,0.8467355927123457,NA,NA,NA,NA,NA,NA,0.0017425818000812094,-0.00131308606264429,2.390637170076427e-4,NA,NA,NA,NA,0.003490027376573184,0.0046186743510852795,-0.0050900802013262424,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-25.1,81.94331761949849,-2.35184918868455,2.905180372163426e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009439369020307425,NA,NA,NA,NA,NA,NA,-0.011449756637313364,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-29.0,11.3077919390886,-1.4236191601679629,1.0939356224273907e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005684945526252959,NA,NA,NA,NA,NA,NA,-0.011340456512483494,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-29.1,24.707698271314655,1.204444488330237,2.71732673840165e-7,1.0282445949179595,1.600496956525343e-10,0.15752741594035988,0.2651427989424907,NA,NA,NA,NA,NA,NA,0.004658906366069005,-0.004318297713286222,-6.842811487159598e-4,NA,NA,NA,NA,0.010922569687302049,0.014659552114750606,0.01236373597708944,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-29.2,19.979525615231797,0.6874319568228732,0.009301940926260169,-0.7758567808552064,1.3161940479776654e-4,-0.44790987158069295,0.039434401827105586,0.8688711494968648,0.004523944101768345,-0.11226307795024726,0.854410463345434,-0.926877112872332,0.005941557193229815,0.0024075239694030443,0.002623582655467854,0.004234275271894056,-0.00881660726810808,0.003162695731811091,0.009366707426415767,Undefined,0.009241484544553183,-0.011983797239045038,-0.017659365477037635,-0.0274521856858154,0.009292437059282278,0.028982268465894984,Tail
maker-000016F-est_gff_StringTie-gene-33.0,6.550224484713039,-6.010420841622301,3.851460427396463e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006605374162720942,NA,NA,NA,NA,NA,NA,-0.009444893145287517,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-37.0,29.455609759782373,-4.719401138511377,1.6811404196973411e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.015010855149627965,NA,NA,NA,NA,NA,NA,-0.010681036145745596,NA,NA,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-4.0,4.323561304803564,-0.022404125163181212,0.9582209607138484,0.08645470492548689,0.80824171614346,0.12398466180140044,0.7429871846304669,NA,NA,NA,NA,NA,NA,4.432764211281909e-5,-3.8632185254548865e-4,-0.0013293637870504917,NA,NA,NA,NA,3.994982081859591e-4,0.002876521086759027,0.004962043881407681,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-4.1,10.469640881295241,0.3024670954628005,0.9009469199382083,-2.218259638840791,0.21298029459742907,-1.056152305500391,0.6568167305746576,-2.0697044095626893,0.6004135156982057,5.282270794369076,0.1265831261493803,-2.2751792261221824,0.6245563118256379,5.405803188040027e-4,0.0011783899277176741,0.004008640798555147,4.143920817718855e-4,-0.010061413921231591,0.010069943936874132,Undefined,0.0018967093786704794,-0.0037753433496440806,-0.00564620022053427,0.004079257546172467,0.022071549183119186,0.022445347523949236,Duct
maker-000016F-est_gff_StringTie-gene-4.2,8.617614282961762,1.88655445260068,2.4231900588227695e-10,0.6067191822493689,0.01706507059817967,-0.31153530137688357,0.2567170634286346,NA,NA,NA,NA,NA,NA,0.007016299147722934,-0.00239683353212225,0.003746668504372705,NA,NA,NA,NA,0.011316582381601851,0.010318062826293406,-0.012448216558925782,NA,NA,NA,NA
maker-000016F-est_gff_StringTie-gene-4.3,15.45836287789872,0.32325137905309276,0.515563292020906,3.3970918671757335,3.11202165795047e-10,0.788973097433087,0.48828874400290195,NA,NA,NA,NA,NA,NA,8.523042247345807e-4,-0.006988152878465171,-0.0022040853426808916,NA,NA,NA,NA,0.0029337062627680086,0.014332529058925752,0.0059320876694593135,NA,NA,NA,NA
