geneName,max_tpm,Body_vs_Head_PC1,Body_vs_Head_FC,Major_vs_Body_PC1,Major_vs_Body_FC,Major_part_PCA_PC1,Major_part_PCA_PC2,Major_part_PCA_dist,Major_part_PCA_class,Major_part_PLS_PC1,Major_part_PLS_PC2,Major_part_PLS_dist,Major_part_PLS_class,Tail_vs_Rest_FC,Sac_vs_Rest_FC,Duct_vs_Rest_FC,duct_1,duct_2,duct_3,duct_4,duct_5,sac_1,sac_2,sac_3,sac_4,sac_5,sac_6,tail_1,tail_2,tail_3,tail_4,tail_5,tail_6
moe,572.7178165590859,0.0018189207857757497,0.4215115816548929,0.0025180696929247267,0.49702849272756183,0.004003221486397221,-0.01435810947708591,0.014905740170321518,Duct,0.019994899360484254,0.031181974163698636,0.03704202361077838,Duct,-0.8129628778039639,-0.3204152522960632,1.026108517905406,13.778524456973926,13.963268964717221,13.968200365494772,13.025119737751064,13.05452466672757,12.619854660990029,12.737643590485424,12.905517990056822,12.961835496482232,12.527347910145613,12.776209990171617,12.685448047991065,11.911325043907441,12.285027481087095,12.491277973683207,12.331075248686671,12.591063758772357
LASC009571,182.69388545179552,0.004243075382682705,5.273925501502036,0.008772587358795323,4.112278833137055,0.010224182001502942,-0.05776004037890503,0.05865795906927377,Duct,0.01728204072149743,0.028391141336772455,0.03323741623387842,Duct,-6.736738047781579,-3.8330736795072324,5.7614066697712705,9.202322197322687,8.464055499889762,10.920831066313953,5.145611876779334,3.9174016522692843,4.480921007373277,4.288489439666205,4.509542754260515,6.198532326168286,4.229801033358685,4.769865114184846,2.852483731948055,3.9156566705855216,2.852483731948055,3.4971405971806977,4.515274119430461,2.852483731948055
abhd11_16,24.621968334919476,3.0283269103700766e-6,0.07797741609402623,0.0057680447193658255,1.2654708494375075,0.017048736690852443,-0.030723190746178717,0.03513650341710313,Duct,0.02723095065465303,0.019828610262043484,0.03368528548907022,Duct,-3.0410616637692787,-0.5614900117436565,2.2707707331514024,8.234351109559666,8.30716037561098,10.33464155637817,7.280751589887526,8.338326682458899,7.342807568577012,7.930087130416963,7.014113920022159,7.209273788673072,7.78944392806845,6.860279443597882,6.088258837997097,5.653522146407093,5.882002557750676,4.764935233132262,5.357701501777733,5.608982857290914
sphk2,12.487589849789332,0.0027675898920013747,0.6262199057251195,0.0030268460850894443,0.568043195635115,0.024701251926207216,-0.021804725096306144,0.032948412454129536,Duct,0.031436020142936685,0.007310694682281659,0.032274906958264994,Duct,-3.158702672268815,0.7638235393317527,1.0415407294446286,8.270802074555393,8.895793733782403,9.785626518577493,8.131647882912556,8.463850129924642,8.389042924591223,9.07447506777265,8.611076795991993,7.920073091074534,9.36177781481291,7.9238538508072365,6.384434049528702,5.740771998620304,5.721269144569514,5.846124992608418,5.357701501777733,6.104330457996779
mkrn2os,11.06486531455085,0.0013322424278752432,0.44626094539873074,0.002121950759070813,0.5914575451943418,0.006681271103539759,-0.012226644770406098,0.01393306233032402,Duct,0.018041629379861746,0.011347899525559967,0.021313732998292312,Duct,-1.1944825393047358,0.0169240197567497,0.9738665937754619,5.251939840336241,6.347724369173359,6.401263818139286,5.91613014936554,5.724244550174867,4.802589679365951,5.611188489248684,5.60010880126995,5.985908658359254,6.089528066350148,4.254464833328002,4.868032652155458,5.9498136915723805,4.136948846302497,4.678279695330061,5.192515666283691,2.852483731948055
clrn2,18.50408428875615,0.0019053797207569648,0.5579751087557502,0.006192451551680911,1.2863627300331477,0.008176069538626044,-0.012234361382952391,0.014714880616203635,Duct,0.026765973137336033,0.014545318285267977,0.030462823277042875,Duct,-1.203637218325262,0.1806004625573081,0.8288649923733644,7.795394452163075,8.378085017236199,8.91825145751568,7.9948536313269125,7.774047055047148,7.9677948403020284,8.067798632914306,7.8655189098104055,7.368129381229237,8.131531018648632,7.513480152511332,7.205807508208129,6.9151898025800556,6.531086005284299,7.4304236762175355,6.944937527429861,6.29897001774296
atp6v0e2,718.4323723466672,0.0017995061655762734,0.43109294474861437,0.0016062759155181829,0.4859165828752772,0.001708667765664851,-0.020028024244925804,0.020100778609018058,Duct,0.014144640833079916,0.027227041250300538,0.030681959512756006,Duct,-0.9928485973520256,-0.7642196880090735,1.5041608332206933,10.542232071151279,10.128758850520267,11.40624963455447,8.887536517088192,8.47820401048295,8.994568127624143,8.533104019796346,8.646821724402109,9.064553675074844,8.997766660733133,8.92883612254869,9.22431506061127,8.77129464576366,8.297864175964019,8.186785295941126,8.389835730638072,9.032003694950056
slc17a5_14,513.1863388848826,0.0051469331349089965,1.2339537271752425,3.1274791672140684e-4,0.7210563199342629,0.01428543030156708,-0.07330628968097783,0.07468524369440303,Duct,0.01754270042431553,0.0347828652786861,0.038956309568188144,Duct,-4.7817961799488335,-4.065736850484266,5.480114476503704,12.9175810535474,14.061410577129765,13.781297814320425,12.460167586180898,10.51998147517781,7.24877672957944,8.382901821157057,8.924303749174097,8.063685361342438,7.4119022640153025,7.6636527125341685,7.955454042792813,6.437500439863805,7.390953237148534,5.410869139812758,5.0039244312025035,8.798926864199737
LASC010388,7.58642480805694,5.82689842506443e-4,1.0181934095458351,2.947078379825263e-4,0.6018854526183997,0.0018273764562053583,-0.015303116721016898,0.01541183590912389,Duct,0.014933282123762746,0.03199840880229123,0.035311486528698297,Duct,-3.619508107288218,-2.232281076106872,3.925015789345686,4.573247982416539,4.032232853255405,4.2855780632976375,4.291435247046619,3.758132193533153,2.852483731948055,3.414369713794072,2.852483731948055,3.3604488634169436,3.6673474344057624,2.852483731948055,2.852483731948055,3.393013801444154,2.852483731948055,2.852483731948055,2.852483731948055,2.852483731948055
ryk,105.7239362718529,0.0026794316244226637,0.7006151501019712,0.005331739706022031,1.10125418099488,1.268389621720762e-4,-0.022759717856366702,0.022760071287756155,Duct,0.011770105289592823,0.033352932045239016,0.0353688203725037,Duct,-0.9032116233166826,-1.0626758279693471,1.6518046083412976,10.348112847222742,10.263681260534002,10.689508946791387,9.886579125137226,8.933651461869017,8.745870414807849,8.524433041045164,8.336119399287377,8.64928527671867,8.167615362767437,8.23781389742464,8.979446593379445,9.456681907045851,7.9558755915381845,8.257654204973472,7.834819647581706,8.24610649630903
arsb,882.7656059300091,0.004502505983000866,1.691880014916122,0.01148675016929593,3.4044223193821574,0.01818951248427446,-0.05634414018369344,0.059207436166880886,Duct,0.011334403928225587,0.024739523164908447,0.027212363345274097,Duct,-3.6403680666526803,-2.879497687753051,4.2658601735575425,14.233429577483712,12.79294192632017,8.303037630625088,9.542441726490056,12.356397806521498,4.857991763568102,8.546013475746005,9.702447906096562,3.5672390027324683,10.232815379685139,7.307833984243875,2.852483731948055,2.852483731948055,9.647690436679206,9.316317116607587,4.1670118691219065,7.0531935190226145
