p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.981005198006472e-52,1.341216290482656,0.455,0.05,1.8318801230984256e-47,ZoneC,elovl7-10
1.1321498450239273e-48,0.8242770493782443,0.392,0.028,2.5986235392834205e-44,ZoneC,elovl7-3
4.89031160701209e-48,1.0585144815232241,0.552,0.11,1.122473223157485e-43,ZoneC,slc13a5
1.0118611716703875e-47,0.803365598448423,0.433,0.049,2.32252494733504e-43,ZoneC,hsd17b6-hsd17b2
1.0249830608826892e-47,2.6757972989367094,0.75,0.347,2.3526436196440363e-43,ZoneC,LASC013967
1.0684662114041281e-45,1.1537549538627194,0.664,0.222,2.4524504950358955e-41,ZoneC,alpl-8
1.587056898589302e-45,0.7705999722670919,0.392,0.035,3.642771699332025e-41,ZoneC,LASC002254
2.1163881144818014e-45,0.8124369877223927,0.451,0.063,4.857745639170079e-41,ZoneC,ephx1-2
2.999269054359695e-44,0.715833348764048,0.388,0.036,6.884222260471808e-40,ZoneC,LASC007083
7.545046766288129e-44,1.5490344483084553,0.705,0.298,1.7318145842661144e-39,ZoneC,dcd2b
2.832475672942665e-41,0.9639048881716906,0.459,0.085,6.501381412105299e-37,ZoneC,LASC010687
3.551983380947777e-41,3.6959953308058395,0.586,0.172,8.152867454289432e-37,ZoneC,LASC009427
2.39841660947946e-40,2.0539330468485018,0.709,0.347,5.5050856437382044e-36,ZoneC,aael008004-2
2.900813918033492e-40,1.0337876363982486,0.534,0.129,6.658238186062274e-36,ZoneC,nrf-6-29
1.8751518757783382e-39,0.8100085228876077,0.466,0.095,4.30403610047402e-35,ZoneC,aael008004
1.021520973884095e-36,1.0109242935751788,0.433,0.087,2.3446970913561634e-32,ZoneC,jhamt-14
4.697711856493524e-36,1.008413074419129,0.347,0.043,1.0782658024209585e-31,ZoneC,elovl7-11
3.3773301643445792e-34,0.637834976294306,0.354,0.05,7.751985926220113e-30,ZoneC,picot-18
1.3683062972441467e-33,1.0777477260849435,0.612,0.24,3.14067344406449e-29,ZoneC,mttp-2
1.015906297720344e-32,0.42203608964022266,0.272,0.019,2.3318097251575054e-28,ZoneC,kcp-2
4.481041063428843e-32,0.7216779262304336,0.451,0.114,1.0285333552888223e-27,ZoneC,tmem68
6.080604746883549e-32,1.1757935375099464,0.701,0.385,1.395681207552181e-27,ZoneC,me1
6.127155420217461e-32,1.1588676733452765,0.646,0.279,1.406365983602514e-27,ZoneC,pxd-pxt-2
2.2855393006410255e-31,1.1245892449062693,0.668,0.336,5.245998356761346e-27,ZoneC,tmem163
3.971443266014357e-31,0.9985807587147721,0.612,0.26,9.115653728482753e-27,ZoneC,crip1
1.1575193370483238e-30,0.601610362590453,0.373,0.069,2.6568541343270176e-26,ZoneC,acsl5-2
9.01007808861463e-30,0.5612176916173827,0.362,0.068,2.068083223679716e-25,ZoneC,scd5-4
1.1933120001769725e-29,0.35077429645980396,0.224,0.009,2.739009034006205e-25,ZoneC,fmo2-5
1.9405970372807407e-29,1.9114270860693212,0.978,0.962,4.454252379670484e-25,ZoneC,rpl10
7.46031069574371e-29,0.44231640570432484,0.451,0.104,1.712365113994054e-24,ZoneC,Spidroin3
6.8347402324087425e-28,1.0659270670411718,0.287,0.039,1.5687779255447788e-23,ZoneC,LASC017807
3.680841459241906e-27,0.4109469109784167,0.25,0.024,8.448635401397947e-23,ZoneC,faah2-7
1.0465259267164358e-26,0.4795539704220111,0.272,0.035,2.402090959592235e-22,ZoneC,ttc39b-2
2.198113250887922e-26,0.5807457840874856,0.261,0.032,5.045329344763047e-22,ZoneC,cg5065
5.0479786477559396e-26,0.5236089037285092,0.313,0.057,1.1586625390194207e-21,ZoneC,orct-22
3.3902218856631326e-25,0.3813617192736086,0.246,0.028,7.781576294162588e-21,ZoneC,foxp1b
8.352275890603147e-25,0.667299142088545,0.392,0.11,1.9170978851701403e-20,ZoneC,scd5-3
5.595695489587334e-24,1.403846481364801,0.687,0.416,1.2843799857249806e-19,ZoneC,cpib
5.8508533896639154e-24,0.44092099262796963,0.246,0.032,1.3429463785295585e-19,ZoneC,hsd17b2-3
1.5603882111439873e-23,0.7792294255596727,0.489,0.189,3.581559061038794e-19,ZoneC,jafrac1
6.271032148235328e-23,0.5201742075930879,0.399,0.117,1.4393900089844548e-18,ZoneC,sult1c2-6
3.773427018025604e-21,0.38998460148988123,0.272,0.052,8.661147034474168e-17,ZoneC,rdh7-hsd17b2
9.588404090570982e-21,0.5385862206662562,0.377,0.118,2.2008263909087576e-16,ZoneC,slc16a9-7
3.5485622804005475e-20,0.9918542542358895,0.754,0.59,8.145015002203377e-16,ZoneC,ywrd-5
6.51925365200269e-20,0.2666464939891022,0.183,0.017,1.4963642907441774e-15,ZoneC,otx2-a
1.9351598524905985e-19,0.3865379679986794,0.261,0.054,4.441772409421671e-15,ZoneC,b4gat1-2
5.529220339386e-19,0.9273500650582525,0.701,0.467,1.2691219444992685e-14,ZoneC,hsd17b12
1.6741415646701924e-18,0.4282945064872243,0.317,0.088,3.8426571333874926e-14,ZoneC,fasn-13
1.8427687073638416e-18,0.9526680214107182,0.925,0.847,4.2297070140122255e-14,ZoneC,LASC015247
2.2456669713080606e-18,0.2646176527100894,0.149,0.009,5.154479399243392e-14,ZoneC,LASC002536
3.505262498623992e-18,0.7412720089768775,0.634,0.36,8.04562901309165e-14,ZoneC,cndp2
4.279831250755366e-18,0.3249544900062721,0.228,0.043,9.823496669858791e-14,ZoneC,espn
5.485862043648913e-18,0.7769391339215672,0.604,0.333,1.259169914878735e-13,ZoneC,LASC003333
1.9329928975051874e-17,0.29071132863828025,0.153,0.013,4.4367985976436564e-13,ZoneC,nrf-6-27
7.061860038385812e-17,0.6600275013053907,0.44,0.2,1.6209087346106954e-12,ZoneC,cd109
9.435344096251272e-17,0.3229542231823358,0.302,0.084,2.1656945304125546e-12,ZoneC,zan
